Carat,Color,Clarity,Depth,PricePerCt,TotalPrice
0.71,F,VS1,61.7,4819.5,3421.9
0.71,G,VS2,61.7,4556.3,3234.9
0.72,D,VS1,62.7,5089.5,3664.4
0.72,D,VS2,62,4592.7,3306.7
0.72,D,VS2,60.2,5832,4199
0.72,D,VS2,61,4665.6,3359.2
0.72,E,SI1,62.9,4251.2,3060.8
0.72,F,VVS2,61.4,5197.5,3742.2
0.72,F,VS1,62.5,4819.5,3470
0.72,F,SI1,60.1,3861,2779.9
0.72,F,SI1,62,3979.8,2865.5
0.73,E,SI1,61.8,4124.3,3010.7
0.73,F,VVS2,62.2,5346,3902.6
0.73,F,SI1,59.3,3979.8,2905.3
0.73,G,VS2,62.7,4434.8,3237.4
0.73,I,VS2,62,3499.2,2554.4
0.74,D,VS2,62.4,4884.3,3614.4
0.74,E,VVS2,61.5,5734.8,4243.8
0.74,F,VS2,62.3,5184,3836.2
0.74,G,VVS1,61.1,5346,3956
0.75,G,VS1,62,4665.6,3499.2
0.76,D,VVS2,62.1,6318,4801.7
0.76,D,SI2,58.2,3979.8,3024.7
0.76,G,VS1,59.8,4730.4,3595.1
0.76,J,VS2,61.6,2754,2093
0.77,D,VS2,61.7,5686.2,4378.4
0.77,G,VS2,61.7,4252.5,3274.4
0.78,G,VVS2,62.1,5054.4,3942.4
0.78,H,VS1,62.2,4353.8,3395.9
0.8,D,SI1,62.4,4630.5,3704.4
0.8,D,SI2,59.8,4276.8,3421.4
0.8,E,VS1,63.8,5248.1,4198.5
0.8,E,VS2,62.6,4957.2,3965.8
0.8,E,SI1,62.9,4568.4,3654.7
0.8,F,VS1,62.2,5163.8,4131
0.8,F,VS2,62.4,4860,3888
0.8,G,VS1,62.7,4989.6,3991.7
0.8,G,VS2,62,4860,3888
0.8,H,VS1,61.6,4644,3715.2
0.8,H,VS2,61.6,4151.3,3321
0.81,D,VS2,62,5540.4,4487.7
0.81,E,VS2,62.5,5163.8,4182.6
0.81,E,SI1,59.1,4568.4,3700.4
0.81,E,SI1,62,4758.8,3854.6
0.81,E,SI1,62.1,4568.4,3700.4
0.81,E,SI1,62.1,4441.5,3597.6
0.82,E,SI1,60.9,4568.4,3746.1
0.82,I,VS2,61.6,3645,2988.9
0.82,I,SI1,61.9,3442.5,2822.9
0.85,J,VS2,62.8,3037.5,2581.9
0.88,E,SI1,62.3,4758.8,4187.7
0.88,G,VS1,60.6,5054.4,4447.9
0.9,F,VS1,61.9,5859,5273.1
0.9,F,SI1,62.2,5494.5,4945.1
0.9,G,VS1,61.4,5973.8,5376.4
0.9,G,VS1,62.1,5973.8,5376.4
0.9,G,VS1,60.8,6212.7,5591.4
0.9,G,SI1,58.9,5054.4,4549
0.9,I,IF,62.3,5292,4762.8
0.9,I,VS2,62,4471.2,4024.1
0.91,D,VS2,61.4,6844.5,6228.5
0.91,D,SI1,62.6,6176.3,5620.4
0.91,E,SI1,61.7,5481,4987.7
0.91,F,SI1,60.9,5568.8,5067.6
0.91,G,VS1,62.7,5734.8,5218.7
0.91,H,VS2,61.2,5248.8,4776.4
0.92,G,VVS2,61.3,6581.3,6054.8
0.93,D,VS1,61.5,8147.3,7576.9
0.94,F,VVS2,59.7,7087.5,6662.3
0.94,F,SI2,62.4,4895.1,4601.4
0.97,E,SI2,61.8,4957.2,4808.5
1.01,E,VS1,60.4,9147.6,9239.1
1.01,F,VS2,61.9,7484.4,7559.2
1.02,E,SI1,61.1,6415.2,6543.5
1.02,F,VS1,61.9,9072,9253.4
1.02,G,VS1,60.6,7897.5,8055.5
1.02,G,VS1,60.3,7686.9,7840.6
1.03,F,VS1,60.6,9298.8,9577.8
1.04,E,SI1,60.8,6860.7,7135.1
1.04,G,VS1,63,6949.8,7227.8
1.07,G,VS2,62.3,7095.6,7592.3
1.08,F,SI1,59.7,6378.8,6889.1
1.09,F,VS2,60.1,8108.1,8837.8
1.09,G,VS2,61.3,7581.6,8263.9
1.1,G,VS1,59.5,8424,9266.4
1.1,G,VS2,60.7,7095.6,7805.2
1.1,H,VS1,61.9,6581.3,7239.4
1.11,F,SI1,60.1,5953.5,6608.4
1.11,G,VS1,61.7,8213.4,9116.9
1.11,G,VS1,61.3,8424,9350.6
1.11,H,VS1,61.6,7020,7792.2
1.13,E,VS2,60.5,8424,9519.1
1.15,G,VS1,62.1,8424,9687.6
1.16,H,VVS2,60.7,7079.4,8212.1
1.19,I,VS2,59.9,5366.3,6385.8
1.2,G,VS2,61.5,7776,9331.2
1.2,H,VS2,62,6779.7,8135.6
1.21,I,VS2,61.9,5509.4,6666.3
1.23,I,VS1,61.2,5821.2,7160.1
1.3,G,SI1,61.5,6372,8283.6
1.31,G,SI1,60.6,6372,8347.3
1.31,H,VS2,60.9,7114.5,9320
1.31,H,VS2,61.8,7365.6,9648.9
1.5,F,SI3,62.1,4050,6075
1.51,H,SI2,62.2,5764.5,8704.4
1.65,F,SI2,60.5,5589,9221.9
0.73,E,SI2,64.4,3044.3,2222.3
0.78,E,VS2,71.4,4131,3222.2
0.86,E,VS2,69.4,4475.3,3848.7
0.86,F,VS2,71.3,4212,3622.3
0.93,D,IF,62.6,8410.5,7821.8
1.35,D,VS1,68,6669,9003.2
0.5,E,SI1,68.3,2511,1255.5
0.52,E,SI1,74.1,2511,1305.7
0.54,E,VVS2,71.6,3321,1793.3
0.59,E,VS2,72.7,2754,1624.9
0.7,G,VS2,74.4,3948.8,2764.1
0.71,H,VS1,71.2,3773.3,2679
0.72,E,VS1,73.2,4650.8,3348.5
0.72,E,VS2,74.7,4268.7,3073.5
0.72,F,VS1,75.2,4475.3,3222.2
0.73,E,VS1,68.6,4650.8,3395.1
0.73,F,VS1,72.9,4131,3015.6
0.74,G,VS1,70.1,4082.4,3021
0.75,G,VS2,73.3,3948.8,2961.6
0.76,G,VVS1,73.8,4212,3201.1
0.77,F,VS2,68.7,4212,3243.2
0.77,H,VS1,73.8,3773.3,2905.4
0.8,F,VVS1,75.1,5197.5,4158
0.8,G,IF,73.3,4738.5,3790.8
0.8,G,VVS2,74.6,4387.5,3510
0.82,F,VVS1,79.2,4455,3653.1
0.83,E,VS1,69.9,4436.1,3682
0.9,E,VS1,71.8,5427,4884.3
0.98,E,VS1,74.9,5670,5556.6
1,D,VS2,71,6230.3,6230.3
1,F,VS1,72.4,5942.7,5942.7
1,F,VS1,71.5,6038.6,6038.6
1.01,F,VS1,75.5,6230.3,6292.6
1.01,H,VVS1,75,5018,5068.1
1.02,D,VVS1,77.8,8078.4,8240
1.02,G,VS1,76,5969.7,6089.1
1.04,F,VS1,72,6134.4,6379.8
1.05,D,VVS1,72.7,8553.6,8981.3
1.05,E,VS1,73.5,5994,6293.7
1.14,E,VS1,72.9,5994,6833.2
1.16,E,SI2,68.9,3442.5,3993.3
1.2,F,VS1,71.9,7188.8,8626.5
1.2,F,VS1,72.6,7188.8,8626.5
1.2,F,SI2,73.6,4860,5832
1.21,E,VS2,68.5,7265.7,8791.5
1.21,G,VS1,73.1,7055.1,8536.7
1.22,F,SI1,73,6264,7642.1
1.22,G,VVS2,73.6,7371,8992.6
1.22,G,VS2,69.9,6528.6,7964.9
1.22,H,VS1,74.5,5580.9,6808.7
1.23,G,VS2,71.4,6528.6,8030.2
1.24,F,VS1,73.7,7668,9508.3
1.24,G,VS1,72.6,7055.1,8748.3
1.24,G,VS1,70.9,7236,8972.6
1.24,G,VS2,74.6,6528.6,8095.5
1.25,D,SI1,69.2,6277.5,7846.9
1.25,E,VS1,72.9,7692.3,9615.4
1.25,H,VS1,70.9,5366.3,6707.8
1.25,H,VS2,75.8,5400,6750
1.26,D,VS2,76.1,7188.8,9057.8
1.3,F,SI1,75.1,6264,8143.2
1.3,G,VS2,75,6696,8704.8
1.3,H,VVS1,71.7,5973.8,7765.9
1.32,F,VS1,74.3,7476.3,9868.7
1.37,H,IF,75,6719,9205
1.52,F,SI2,63.4,4826.3,7335.9
0.8,H,VVS2,69.9,3645,2916
0.97,G,VVS1,70,5177.3,5021.9
1.25,G,VS2,71.9,5607.9,7009.9
